Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
70,Kitchen Cabinet,KRONIC Pack of 6 Multiperurpose Bathroom Soap Shower St...,₹380,₹899,"['Suitable For: Storage','Number of Shelves: 6','Number of Drawers: 6','W x H x D: 10 mm x 6 mm x 11 mm','Delivery condition: Pre Assembled (Ready to Use)']",Dedeman
72,Kitchen Cabinet,KRONIC Pack of 5 Plastic Kitchen Bathroom Storage Corne...,₹365,₹799,"['Suitable For: Storage','Number of Shelves: 5','Number of Drawers: 5','W x H x D: 10 mm x 6.7 mm x 22 mm','Delivery condition: Pre Assembled (Ready to Use)']",Mobila Casa
73,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand SS Metal Kitchen Ca...,"₹1,234","₹2,999","['Suitable For: Storage','Number of Shelves: 3','W x H x D: 550 mm x 550 mm x 320 mm (1 ft 9 in x 1 ft 9 in x 1 ft)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
77,Kitchen Cabinet,Navmi Plastic Kitchen Cabinet,₹749,"₹1,299","['Suitable For: Storage, Dining &amp; Kitchen Furniture','Number of Shelves: 3','Number of Drawers: 3','W x H x D: 360 mm x 560 mm x 280 mm (1 ft 2 in x 1 ft 10 in x 11 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
78,Kitchen Cabinet,CuteKitchen Ck_KC_29 Harini Crockery cabinet Engineered...,"₹4,158","₹11,800","['Suitable For: Dining &amp; Kitchen Furniture, Storage','Number of Shelves: 3','W x H x D: 600 mm x 600 mm x 200 mm (1 ft 11 in x 1 ft 11 in x 7 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
79,Kitchen Cabinet,kraft bazaar Solid Wood Kitchen Cabinet,"₹19,999","₹39,999","['Suitable For: Storage','Number of Shelves: 2','Number of Drawers: 4','W x H x D: 1500 mm x 900 mm x 400 mm (4 ft 11 in x 2 ft 11 in x 1 ft 3 in)','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
80,Kitchen Cabinet,Ebee Metal Kitchen Cabinet,₹699,₹999,"['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','W x H x D: 570 mm x 480 mm x 300 mm (1 ft 10 in x 1 ft 6 in x 11 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
81,Kitchen Cabinet,Woodbuzz Engineered Wood Kitchen Cabinet,"₹7,608","₹18,124","['Suitable For: Storage','Number of Shelves: 3','Number of Drawers: 1','W x H x D: 600 mm x 900 mm x 450 mm (1 ft 11 in x 2 ft 11 in x 1 ft 5 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
82,Kitchen Cabinet,@Home by nilkamal Ben Engineered Wood Crockery Cabinet,"₹8,175","₹20,900","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','Number of Drawers: 2','W x H x D: 1000 mm x 870 mm x 440 mm (3 ft 3 in x 2 ft 10 in x 1 ft 5 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
84,Kitchen Cabinet,SLIMSHINE Metal Kitchen Cabinet,"₹1,175","₹1,999","['Suitable For: Storage','Number of Shelves: 3','W x H x D: 457.2 mm x 250 mm x 120 mm (1 ft 6 in x 9 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
85,Kitchen Cabinet,XBEY PACK OF 5 (2 Bathroom Shelves + 3 Bathroom Corner)...,₹398,"₹1,299","['Suitable For: Storage, Dining &amp; Kitchen Furniture','Number of Shelves: 5','Number of Drawers: 5','W x H x D: 16 mm x 4 mm x 14 mm','Delivery condition: Pre Assembled (Ready to Use)']",Casa Magica
86,Kitchen Cabinet,XBEY PACK OF 4 Plastic Kitchen Cabinet Corner Wall Shel...,₹269,₹999,"['Suitable For: Storage','Number of Shelves: 4','Number of Drawers: 4','W x H x D: 16 mm x 4 mm x 14 mm','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
87,Kitchen Cabinet,Crystal Furnitech Eadric Engineered Wood Kitchen Cabine...,"₹11,390","₹14,846","['Suitable For: Storage','Number of Shelves: 7','W x H x D: 1200 mm x 1380 mm x 400 mm (3 ft 11 in x 4 ft 6 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
88,Kitchen Cabinet,SLIMSHINE Metal Kitchen Cabinet,₹857,"₹1,499","['Suitable For: Storage','Number of Shelves: 2','W x H x D: 406.4 mm x 254 mm x 127 mm (1 ft 3 in x 10 in x 5 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
90,Kitchen Cabinet,CuteKitchen Ck_KC_329 Turmeric spice Crockery Engineere...,"₹4,326","₹11,800","['Suitable For: Dining &amp; Kitchen Furniture, Storage','Number of Shelves: 3','W x H x D: 600 mm x 600 mm x 200 mm (1 ft 11 in x 1 ft 11 in x 7 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
91,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹2,159","₹3,699","['Suitable For: Dining &amp; Kitchen Furniture, Storage','Number of Shelves: 5','W x H x D: 570 mm x 1570 mm x 350 mm (1 ft 10 in x 5 ft 1 in x 1 ft 1 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
92,Kitchen Cabinet,URBAN CHOICE Plastic Kitchen Cabinet,"₹1,419","₹2,499","['Suitable For: Storage','Number of Shelves: 6','W x H x D: 310 mm x 500 mm x 110 mm (1 ft x 1 ft 7 in x 4 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
93,Kitchen Cabinet,XYJIQS 3 Layer Foldable Modular Drawer Organizer Multip...,₹740,"₹1,099","['Suitable For: Storage','Number of Shelves: 3','Number of Drawers: 3','W x H x D: 142 mm x 189 mm x 15.4 mm (5 in x 7 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
94,Kitchen Cabinet,QXORE Combo of 6 Pieces Traceless Self Adhesive Waterpr...,₹439,₹999,"['Suitable For: Storage, Dining &amp; Kitchen Furniture','Number of Shelves: 6','Number of Drawers: 6','W x H x D: 26 mm x 11 mm x 7 mm (1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
95,Kitchen Cabinet,Old Wolf Furniture Engineered Wood Kitchen Cabinet,"₹7,499","₹14,999","['Suitable For: Storage','Number of Shelves: 5','W x H x D: 400 mm x 1830 mm x 390 mm (1 ft 3 in x 6 ft x 1 ft 3 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
96,Kitchen Cabinet,Woodbuzz Engineered Wood Crockery Cabinet,"₹14,999","₹29,500","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 10','Number of Drawers: 1','W x H x D: 800 mm x 1900 mm x 400 mm (2 ft 7 in x 6 ft 2 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
97,Kitchen Cabinet,LivShine Nilkamal FMS Cabinet Plastic Kitchen Cabinet,"₹2,459","₹2,999","['Suitable For: Storage, Dining &amp; Kitchen Furniture','Number of Shelves: 2','W x H x D: 23.2 mm x 25 mm x 13.8 mm','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
98,Kitchen Cabinet,CuteKitchen Engineered Wood Crockery Cabinet,"₹4,326","₹11,200","['Suitable For: Dining &amp; Kitchen Furniture, Storage','Number of Shelves: 3','W x H x D: 600 mm x 600 mm x 200 mm (1 ft 11 in x 1 ft 11 in x 7 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
100,Kitchen Cabinet,KPT Kitchen Steel Cabinet For Multipurpose Use Metal Ki...,₹519,"₹1,000","['Suitable For: Storage','Number of Shelves: 2','W x H x D: 29 mm x 25 mm x 29 mm (1 in x 1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Magica
101,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹816,"₹1,599","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
