Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
420,Kitchen Cabinet,The Wooden Factory Engineered Wood Kitchen Cabinet,7826,13846,"['Suitable For: Storage, Dining &amp; Kitchen Furniture', 'Number of Shelves: 1', 'W x H x D: 600 mm x 900 mm x 400 mm (1 ft 11 in x 2 ft 11 in x 1 ft 3 in)', 'Pre Assembled (Ready to Use)']",Ikea
421,Kitchen Cabinet,Woodlux Metal Kitchen Cabinet,651,1204,"['Suitable For: Storage', 'Number of Shelves: 2', 'W x H x D: 570 mm x 650 mm x 300 mm (1 ft 10 in x 2 ft 1 in x 11 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
424,Kitchen Cabinet,KYASO Plastic Kitchen Cabinet,369,902,"['Suitable For: Storage', 'Number of Shelves: 5', 'Number of Drawers: 5', 'W x H x D: 16 mm x 4 mm x 14 mm', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
425,Kitchen Cabinet,Mezylus Solid Wood Kitchen Cabinet,1107,3210,"['Suitable For: Storage, Dining &amp; Kitchen Furniture', 'Number of Shelves: 4', 'W x H x D: 609.6 mm x 609.6 mm x 125 mm (2 ft x 2 ft x 4 in)', 'Knock Down - Delivered in non-assembled pieces, installation by service partner']",Dedeman
426,Kitchen Cabinet,GlowSilk Elegant Plastic Kitchen Cabinet,1905,2206,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 6', 'W x H x D: 400 mm x 470 mm x 110 mm (1 ft 3 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Dedeman
429,Kitchen Cabinet,GlowSilk Elegant Plastic Kitchen Cabinet,1604,2206,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 6', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Mobila Casa
432,Kitchen Cabinet,RSPOL CABINET Engineered Wood Kitchen Cabinet,4012,6019,"['Suitable For: Storage', 'Number of Shelves: 3', 'W x H x D: 62 mm x 62 mm x 32 mm (2 in x 2 in x 1 in)', 'Pre Assembled (Ready to Use)']",Casa Magica
433,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,2006,3009,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 3', 'W x H x D: 101 mm x 553 mm x 508 mm (3 in x 1 ft 9 in x 1 ft 8 in)', 'Pre Assembled (Ready to Use)']",Casa Rusu
434,Kitchen Cabinet,Trendy Plastic Kitchen Cabinet,596,1002,"['Suitable For: Storage', 'Number of Shelves: 2', 'Number of Drawers: 2', 'W x H x D: 510 mm x 390 mm x 110 mm (1 ft 8 in x 1 ft 3 in x 4 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
437,Kitchen Cabinet,GlowSilk Plastic Kitchen Cabinet,1604,2206,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 6', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",FurnitureForYou
439,Kitchen Cabinet,kraft bazaar Solid Wood Kitchen Cabinet,20067,40135,"['Suitable For: Storage', 'Number of Shelves: 2', 'Number of Drawers: 4', 'W x H x D: 1500 mm x 900 mm x 400 mm (4 ft 11 in x 2 ft 11 in x 1 ft 3 in)', 'Pre Assembled (Ready to Use)']",Dedeman
440,Kitchen Cabinet,CuteKitchen CK KC 429 Engineered Wood Crockery Cabinet,5023,11840,"['Suitable For: Dining &amp; Kitchen Furniture, Storage', 'Number of Shelves: 3', 'W x H x D: 600 mm x 600 mm x 200 mm (1 ft 11 in x 1 ft 11 in x 7 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
