Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
118,Showcase,Sublime Arts Engineered Wood Display Unit,341,642,['Delivery condition: Pre Assembled (Ready to Use)'],FurnitureForYou
119,Showcase,Hometown Cash Engineered Wood Display Unit,2156,5920,"['Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
120,Showcase,ZIARO 5-Tier 30X30 Multipurpose Turn-N-Tube Quad Circle...,1504,3009,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
121,Showcase,Aaliya mart attach 4 wall shelf Solid Wood Display Unit,732,1303,['Delivery condition: Pre Assembled (Ready to Use)'],Dedeman
122,Showcase,classiconline Wall Mount U Shelf Set Of 3 Engineered Wo...,601,902,['Delivery condition: Pre Assembled (Ready to Use)'],Mobila Casa
123,Showcase,Flipkart Perfect Homes Studio KR-02-Beige Engineered Wo...,715,1604,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: Easy Cleaning,Huge Storage Space,Good Looking,Heavy and Strong']",Mob Expert
124,Showcase,Extend Crafts Wooden Wall Setup box Stand wall mount T ...,662,1271,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
125,Showcase,woodinto Wooden Rafuf Intersecting Wall Shelves (Set of...,1504,3009,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: decorative wall shelve']",FurnitureForYou
126,Showcase,Maaz Handicrafts Wall Set Top Box Stand Shelf(Brown) So...,582,864,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
127,Showcase,Flipkart Perfect Homes Studio KR-02-White Engineered Wo...,715,1504,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: Easy Cleaning,Huge Storage Space,Good Looking,Heavy and Strong']",Jysk
128,Showcase,SS ARTS Decorative Multi Purpose Standing Storage Shelv...,3411,6577,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
130,Showcase,Sublime Arts NEW DESIGNED WALL MOUNTED BLACK SET TOP BO...,400,502,['Delivery condition: Pre Assembled (Ready to Use)'],Ikea
132,Showcase,"Karam Collections Ronald Wall Shelf, Set of 3 (Matt Fin...",601,701,['Delivery condition: Pre Assembled (Ready to Use)'],Dedeman
133,Showcase,Maaz Handicrafts Solid Wood Display Unit,601,758,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
134,Showcase,Yasar Handicrafts Engineered Wood Display Unit,752,1906,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
135,Showcase,Star Handicrafts Engineered Wood Display Unit,979,3009,['Delivery condition: Pre Assembled (Ready to Use)'],FurnitureForYou
136,Showcase,Yasar Handicrafts Engineered Wood Display Unit,1303,3310,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
137,Showcase,VEINSART Solid Wood Display Unit,701,802,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
138,Showcase,7CR Display Right & Left Shelf (B) Engineered Wood Disp...,936,2006,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: 100% HDF board']",FurnitureForYou
140,Showcase,woodinto Solid Wood Display Unit,1504,2507,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
142,Showcase,Raj Handicrafts Engineered Wood Display Unit,752,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Rusu
144,Showcase,woodinto MDF Intersecting Wall Shelf Engineered Wood Di...,802,1604,"['Delivery condition: Pre Assembled (Ready to Use)','Details: shelf,wall shelf']",Dedeman
